age,sex,webhltbeh,wwwhr,happy,health,life
48.0,male,,,not too happy,good,
63.0,female,,,pretty happy,fair,
72.0,male,,,very happy,fair,
30.0,female,,,pretty happy,excellent,
78.0,female,,,pretty happy,fair,
44.0,female,,,very happy,good,
48.0,male,,,pretty happy,good,
29.0,female,,,not too happy,excellent,
21.0,male,,,pretty happy,excellent,
20.0,female,,,very happy,excellent,
52.0,female,,,not too happy,poor,
40.0,male,,,pretty happy,good,
42.0,male,,,not too happy,good,
54.0,male,,,pretty happy,good,
43.0,female,,,pretty happy,excellent,
25.0,male,,,very happy,excellent,
28.0,female,,,not too happy,good,
43.0,female,,,pretty happy,good,
45.0,male,,,very happy,fair,
48.0,female,,,pretty happy,good,
36.0,female,,,pretty happy,fair,
28.0,male,,,pretty happy,good,
27.0,male,,,very happy,good,
52.0,female,,,very happy,excellent,
20.0,female,,,pretty happy,good,
28.0,female,,,pretty happy,good,
38.0,male,,,pretty happy,excellent,
48.0,female,,,very happy,good,
47.0,male,,,not too happy,good,
59.0,male,,,pretty happy,good,
26.0,male,,,pretty happy,excellent,
63.0,female,,,not too happy,excellent,
80.0,female,,,pretty happy,fair,
68.0,female,,,not too happy,fair,
49.0,female,,,pretty happy,good,
21.0,male,,,pretty happy,excellent,
27.0,female,,,very happy,good,
41.0,male,,,pretty happy,good,
31.0,male,,,pretty happy,excellent,
76.0,male,,,not too happy,good,
26.0,male,,,pretty happy,fair,
73.0,male,,,not too happy,good,
49.0,female,,,pretty happy,good,
72.0,female,,,very happy,poor,
53.0,female,,,pretty happy,fair,
39.0,female,,,pretty happy,good,
31.0,female,,,not too happy,good,
52.0,female,,,pretty happy,good,
61.0,male,,,pretty happy,fair,
85.0,male,,,pretty happy,fair,
54.0,male,,,not too happy,good,
69.0,female,,,very happy,fair,
65.0,male,,,very happy,good,
41.0,female,,,very happy,good,
58.0,male,,,very happy,fair,
57.0,female,,,pretty happy,excellent,
55.0,male,,,pretty happy,poor,
47.0,female,,,pretty happy,excellent,
60.0,male,,,very happy,good,
53.0,male,,,very happy,excellent,
57.0,male,,,pretty happy,excellent,
28.0,male,,,pretty happy,good,
48.0,female,,,very happy,good,
51.0,male,,,not too happy,good,
33.0,female,,,very happy,good,
47.0,female,,,pretty happy,excellent,
36.0,female,,,very happy,good,
19.0,male,,,pretty happy,excellent,
26.0,male,,,pretty happy,excellent,
25.0,male,,,pretty happy,good,
24.0,female,,,very happy,excellent,
22.0,male,,,very happy,excellent,
25.0,female,,,pretty happy,good,
21.0,female,,,pretty happy,excellent,
29.0,male,,,pretty happy,excellent,
26.0,female,,,not too happy,fair,
21.0,male,,,very happy,excellent,
53.0,male,,,very happy,good,
44.0,female,,,pretty happy,good,
46.0,female,,,pretty happy,excellent,
46.0,female,,,very happy,good,
60.0,female,,,very happy,good,
50.0,female,,,pretty happy,fair,
37.0,male,,,very happy,good,
76.0,male,,,not too happy,good,
41.0,female,,,pretty happy,fair,
24.0,female,,,pretty happy,good,
33.0,female,,,pretty happy,poor,
49.0,female,,,very happy,fair,
22.0,male,,,very happy,fair,
67.0,male,,,pretty happy,fair,
74.0,male,,,very happy,poor,
37.0,male,,,pretty happy,fair,
45.0,female,,,very happy,good,
59.0,female,,,pretty happy,good,
65.0,female,,,pretty happy,excellent,
67.0,female,,,pretty happy,fair,
66.0,male,,,not too happy,fair,
28.0,male,,,pretty happy,excellent,
37.0,male,,,very happy,excellent,
72.0,female,,,not too happy,excellent,
22.0,female,,,very happy,excellent,
60.0,female,,,pretty happy,fair,
60.0,female,,,pretty happy,good,
35.0,male,,,pretty happy,excellent,
60.0,male,,,not too happy,good,
79.0,male,,,pretty happy,excellent,
45.0,male,,,not too happy,good,
65.0,female,,,pretty happy,good,
45.0,male,,,not too happy,excellent,
65.0,female,,,pretty happy,excellent,
22.0,female,,,pretty happy,good,
60.0,male,,,pretty happy,poor,
38.0,male,,,pretty happy,excellent,
29.0,female,,,pretty happy,excellent,
26.0,male,,,pretty happy,good,
81.0,female,,,pretty happy,fair,
61.0,female,,,very happy,good,
71.0,female,,,very happy,good,
26.0,male,,,pretty happy,excellent,
70.0,male,,,pretty happy,fair,
34.0,male,,,pretty happy,good,
48.0,male,,,pretty happy,good,
23.0,female,,,very happy,excellent,
60.0,male,,,pretty happy,excellent,
33.0,male,,,not too happy,excellent,
52.0,female,,,not too happy,fair,
55.0,female,,,pretty happy,fair,
21.0,female,,,very happy,good,
26.0,male,,,very happy,excellent,
77.0,female,,,pretty happy,excellent,
69.0,female,,,pretty happy,poor,
25.0,male,,,pretty happy,excellent,
43.0,female,,,pretty happy,poor,
77.0,female,,,pretty happy,fair,
65.0,male,,,not too happy,fair,
31.0,male,,,very happy,good,
65.0,male,,,very happy,excellent,
58.0,male,,,not too happy,poor,
63.0,female,,,not too happy,fair,
74.0,female,,,not too happy,excellent,
